DepartmentName,HistoryId,SequenceNo,OBUId,InsertTime,Longitude,Latitude,Speed,Heading,Hdop,GPSTime,UpdatedTime,VehicleID,VehicleNumber,RegNo,OperatorName,LocationName
BRT,7794596757,1,868711063878576,2026-01-19 18:16:18.553,72.820594,21.17227,17.0,242.0,1.0,2026-01-19 18:16:18,2026-01-19 18:16:18.553,1856,J001,GJ05CW3962,JBM ECOLIFE MOBILITY SURAT PVT LTD,"Majura Taluka, Surat, Gujarat, 359007, India"
BRT,7782000032,1,868711063619400,2026-01-16 12:57:57.743,72.790085,21.228238,2.6,9.0,1.0,2026-01-16 12:57:57,2026-01-16 12:57:57.743,2020,J111,GJ05CW6980,JBM ECOLIFE MOBILITY SURAT PVT LTD 2,"SH6, Surat, Gujarat, 395005, India"
BRT,7792446022,1,868711068779787,2026-01-19 08:13:10.387,72.839127,21.202349,0.0,342.0,1.0,2026-01-19 08:13:09,2026-01-19 08:13:10.387,2056,J128,GJ05CW6846,JBM ECOLIFE MOBILITY SURAT PVT LTD 2,"Salabatpura, Surat, Gujarat, 395008, India"
BRT,7790693456,1,868711063593746,2026-01-18 17:51:57.810,72.849297,21.118172,0.0,0.0,1.0,2026-01-18 17:51:57,2026-01-18 17:51:57.810,1895,J041,GJ05CW4304,JBM ECOLIFE MOBILITY SURAT PVT LTD,"Majura Taluka, Surat, Gujarat, 395023, India"
BRT,7783166461,1,868711067400112,2026-01-16 18:43:30.453,72.751495,21.138691,0.0,225.0,1.0,2026-01-16 18:43:30,2026-01-16 18:43:30.453,1877,J023,GJ05CW4180,JBM ECOLIFE MOBILITY SURAT PVT LTD,"ONGC Colony Phase-1, Majura Taluka, Surat, Gujarat, 394518, India"
BRT,7788516201,1,868711063628492,2026-01-18 07:02:11.797,72.872321,21.196487,37.0,59.0,1.0,2026-01-18 07:02:11,2026-01-18 07:02:11.797,2010,J101,GJ05CW6810,JBM ECOLIFE MOBILITY SURAT PVT LTD,"Valthan road, Puna Taluka, Surat, Gujarat, 395010, India"
BRT,7785423623,1,868711063878576,2026-01-17 10:42:52.420,72.834145,21.177727,0.0,339.0,1.0,2026-01-17 10:42:51,2026-01-17 10:42:52.420,1856,J001,GJ05CW3962,JBM ECOLIFE MOBILITY SURAT PVT LTD,"NH64, Majura Taluka, Surat, Gujarat, 300034, India"
BRT,7795078078,1,862430060892490,2026-01-19 20:14:42.373,72.86663,21.19273,24.0,236.0,1.0,2026-01-19 20:14:42,2026-01-19 20:14:42.373,1883,J029,GJ05CW4141,JBM ECOLIFE MOBILITY SURAT PVT LTD,"Valthan road, Puna Taluka, Surat, Gujarat, 395010, India"
BRT,7790389272,1,868711068731648,2026-01-18 16:21:41.067,72.822258,21.17304,36.0,244.0,1.0,2026-01-18 16:21:40,2026-01-18 16:21:41.067,1880,J026,GJ05CW4492,JBM ECOLIFE MOBILITY SURAT PVT LTD,"Canal Corridor, Miranagar Society, Majura Taluka, Surat, Gujarat, 395002, India"
BRT,7784020513,1,868711068770026,2026-01-16 22:58:20.640,72.810181,21.149549,0.0,78.0,1.0,2026-01-16 22:58:20,2026-01-16 22:58:20.640,1953,J095,GJ05CW4706,JBM ECOLIFE MOBILITY SURAT PVT LTD,"Majura Taluka, Surat, Gujarat, 395017, India"
